"Date","2330.TW","2317.TW","2454.TW","3231.TW","2357.TW","2379.TW","2327.TW","2881.TW","2891.TW","2885.TW","2890.TW","1102.TW","2618.TW","1216.TW","2412.TW"
2018-01-01,0.176132060126246,1.31287428263637e-21,5.35976231981408e-21,1.35525271560688e-20,3.25036627511362e-21,4.37495341767845e-21,0.823867939873754,3.21841405864062e-21,7.35963191466967e-21,7.31613407946775e-22,2.85085116002111e-21,1.37483427745893e-21,1.56763470323768e-16,2.16399952748238e-20,1.76851189684078e-16
2018-07-01,2.2912416616836e-22,9.37039971949145e-22,1.19385687797604e-22,3.00141097908284e-24,0.00666981563852538,2.37783687065989e-23,0.559319308042912,0.0647142543198619,0.15284165502221,3.63148265922326e-24,0.216454966976491,2.43911361802848e-24,1.19657993444288e-22,6.18677322278862e-23,7.12879778330786e-23
2019-01-01,4.94680680354228e-22,7.28475238514476e-22,9.18081171567025e-23,1.00121328224001e-23,2.28043427628981e-22,1.80333732457661e-23,0.438932932523465,2.15900177101437e-23,3.5086356650336e-23,0.123598640937259,3.57135104490873e-23,6.39558007828266e-23,9.41059749680843e-23,0.162596064033638,0.274872362505638
2019-07-01,1.12967216614877e-24,2.7356005732915e-23,2.12406655973627e-23,7.52791709017776e-24,9.32529678622504e-25,0.518257072718478,0.266121342246633,1.55621711291756e-23,2.28613037072029e-24,3.71244967153752e-25,2.78751594624243e-25,0.215621585034889,4.98668563989066e-24,2.77555756156289e-24,1.16475799006531e-26
2020-01-01,1.36273425105067e-20,4.80682212017205e-22,4.07889838281396e-21,9.64531696541068e-19,1.5166798327487e-21,0.67674385324719,0.156434996844843,1.80216661295241e-20,1.29839779513363e-20,1.73455079162984e-19,6.15349763172361e-23,0.166821149907967,5.96666395750672e-21,7.98183248930048e-20,2.569800356286e-20
2020-07-01,7.43810674149858e-26,4.37111719029287e-24,0.180234701587221,0.199465989212072,7.33813795121627e-25,0.581037711600963,2.51120639732595e-23,5.35204616275085e-24,4.81647041230611e-24,6.98439825253748e-25,4.44822372923757e-23,0.0186084613643157,5.85326547806838e-24,2.24570426278528e-24,0.0206531362354279
2021-01-01,0.170726365698796,2.42096191427223e-25,0.606338161745524,2.64697796007935e-24,1.38425675492448e-27,0.222935472555679,1.75911044184016e-22,6.42703850867325e-23,1.0191155460938e-22,4.60018664066456e-24,1.00202839554814e-24,1.46599805329542e-22,1.51747514648524e-24,4.05415059605501e-24,2.75543990686425e-24
2021-07-01,0.406956086342263,1.66449969211978e-23,0.490549544393057,1.84019683987146e-23,5.6280204207801e-24,3.05303396059154e-23,0.102494369264679,2.43676753961452e-23,1.77590722923902e-23,4.91628506545553e-24,3.76074870977153e-23,5.13910424665231e-23,3.79805489404858e-23,5.46218360811957e-24,4.02262800736734e-23
2022-01-01,9.60508696471716e-26,9.5220932047813e-26,0.429538219158759,8.17310247755879e-27,3.75701344545028e-24,0.290732296483637,3.40766100967497e-25,0.123138818525893,1.01156138425968e-25,1.38828825270653e-24,6.2902727067155e-26,5.24626380917463e-25,0.156590665831711,9.98400721095371e-25,5.27264301281283e-25
2022-07-01,0.200394831568841,3.56660381332665e-21,2.33074486535585e-23,3.36984992446425e-25,0.100080631263309,1.24716743350715e-23,8.29072510612124e-24,5.20647065873114e-23,2.78538081558214e-25,1.29735301043077e-23,0.141666672673501,2.00909659624384e-24,0.557857864494349,4.99310521560784e-23,8.12925777270466e-24
2023-01-01,5.38516923518416e-09,2.65378099099803e-09,1.74039831011454e-09,2.22458789451435e-10,2.8856604593292e-09,6.2848450269359e-10,1.47466003682549e-08,5.3928696208e-09,6.25332330400473e-10,3.51033291389172e-10,0.515716283571823,7.81348407983114e-10,0.484283718680317,2.84397351151531e-09,3.22066947439229e-09
2023-07-01,1.26996750462341e-18,6.13884690366259e-18,1.71797871949693e-18,1,5.27095655578853e-18,5.50034037161013e-18,3.2769791774506e-18,1.57816117182387e-18,2.21177243187043e-17,3.29693320128105e-18,2.16840434497101e-18,1.32814766129474e-18,2.08166817117217e-17,2.91496495393844e-18,5.00518831188014e-18
2024-01-01,2.11930372726102e-24,1.31631887813222e-23,4.33597349227458e-22,0.711828024454155,1.52237998284335e-22,3.76121665788326e-23,2.15788649587253e-24,1.96523880877384e-24,1.10861735747677e-22,2.17052192733914e-21,0.288171975545845,1.38102095187966e-22,6.54227837521859e-23,1.27054953645671e-22,7.65397323585219e-22
2024-07-01,8.36151310607584e-25,0.136386517213616,0.250416894279675,0.613196588506709,1.33794104109345e-24,1.71009115678926e-22,1.00515369122348e-23,1.7398917424496e-23,3.82357557514477e-26,1.08448023483808e-20,4.09312396590304e-23,5.74593827410923e-26,1.04214826694007e-24,4.7489719584243e-24,5.91009306131873e-24
2025-01-01,0.0500790965260791,3.96869018739978e-22,0.320912441923354,0.468297876113947,0.160710585436619,2.94439292761396e-22,3.87948884691848e-22,1.40717814810927e-22,2.62704198891723e-22,1.05964544575068e-21,4.19498844457902e-22,3.59690492552495e-22,6.55182911449717e-22,3.73913673055104e-22,2.2770072381563e-22
2025-07-01,4.62906987199283e-24,4.24663218083798e-26,0.174498630179112,9.79357330914621e-32,0.633406182010378,2.13738678955877e-24,9.55442710192346e-25,7.16188060055855e-25,0.192095187810511,2.30392356170491e-24,5.61124649856058e-24,8.47390105525023e-25,3.46945149514721e-25,5.22241352928655e-25,3.72952515768717e-25
